Item Class;Item Class Name;Boundaries;Maintenance Strategy Overview;Scope;Parent Item Class;Other Associated Item Classes;Notes;Task Template ID;Definition;Application;Justification;Low Risk Frequency;Unit Low;Medium Risk Frequency;Unit Medium;High Risk Frequency;Unit High
IPOC;Oil in Water Monitor;"Includes optical/electronic sensor assembly
Includes calibration fluid reservoir and lines
Includes internal power supply unit
Includes internal diagnostic/test ports
Includes analyser mounting
Includes electrical and mechanical connections/fittings
Includes instrument small bore pipework / tubing
Includes consideration of equipment Ex protection rating inspection requirements (where applicable)
Excludes signal processing (transmitter) circuitry
Excludes Oil in Water Monitor junction box";;;;;;;;;;;;;;;
IPPH;Analyser, PH;"Includes calibration solution reservoir
Includes reference electrode
Includes sample conditioning system
Includes power supply unit
Includes analyzer mounting
Includes electrical and mechanical connections/fittings
Includes analyzer sensor element
Includes consideration of equipment Ex protection rating inspection requirements (where applicable)
Includes instrument small bore pipework / tubing
Excludes The primary isolation valve for the instrument hook-up tapping and the mechanical interface to the pipework";;;;;;;;;;;;;;;
EEDB;Local Distribution Board;"Includes Internal fuses
Includes Internal surge protection devices
Includes Internal diagnostic/test points
Includes Internal wiring/cabling
Includes Residual Current Circuit Breaker (RCCB)
Includes Enclosure
Includes Internal terminal blocks";;;;;;;;;;;;;;;
LFHR;Fire Hose Reel;"Includes Reel mechanism
Includes Mounting bracket
Includes Internal piping connections
Includes Hose guide
Excludes Fire Hose
Excludes Nozzle
Excludes Hose Reel Isolation Valve";;;;;;;;;;;;;;;
CMSQ;Satellite System;"Includes Cabling and connectors
Includes Surge protection devices
Includes Internal diagnostic/test points
Includes Automatic Identification System (AIS)
Includes GMDSS / Inmarsat C
Includes Inmarsat Fleet Broadband
Includes Iridium
Excludes Antennas";;;;;;;;;;;;;;;
WCBG;Weathervaning Bogie;"Includes Bogie frame and structural supports
Includes Wheel alignment and tracking mechanisms
Includes Bogie mounting bolts and fasteners
Includes Wear plates and liners
Includes Bogies assemblies and bogie structural components
Includes Radial wheels, axial wheels, rails, and wheel shafts
Excludes Main roller bearing (MRB) assembly
Excludes Bearing rolling elements and raceways
Excludes Bearing housing and structural interfaces
Excludes Turret locking systems and locking devices";;;;;;;;;;;;;;;
FGMA;Call point, Alarm;"Includes internal mounting bracket/hardware
Includes internal status indicator (e.g., LED)
Includes break glass or pushbutton unit (as appropriate)";;;;;;;;;;;;;;;
SCPF;Passive Fire Protection (PFP);"Includes penetration sealants
Excludes piping and pressure vessel coating
Excludes fire blankets on safety critical valves and actuators";;;;;;;;;;;;;;;
HBFP;Flare Ignition Panel;"Includes internal power supplies
Includes internal circuit breakers/fuses
Includes internal PLC/controller modules
Includes internal communication modules
Includes internal wiring/cabling
Includes internal surge protection devices
Includes internal diagnostic/test points
Includes Cabinet enclosures and doors
Includes internal terminal blocks, cable trays, trunking and connectors
Includes consideration of equipment EX protection rating inspection requirements (where applicable)
Excludes Flare Tip";;;;;;;;;;;;;;;
DRGB;Gearbox;"Includes Seals
Includes Cooling system
Includes Mounting bolts/fasteners
Includes Alignment shims
Includes casing
Includes shaft
Includes gears
Includes gaskets
Includes breather (when fitted)
Includes local instrumentation
Includes driver coupling
Excludes Lube oil system
Excludes pump for forced lubrication
Excludes heat exchanger
Excludes Mechanical Variable Speed Gear";;;;;;;;;;;;;;;
CMCV;CCTV System;"Includes Internal power supplies
Includes Internal wiring/cabling
Includes Internal surge protection devices
Includes Internal diagnostic/test points";;;;;;;;;;;;;;;
WTCL;Chlorine Dosing Unit;"Includes dosing unit supporting structure
Excludes Chlorine / De-Chlorine dosing pump
Excludes manual isolating valves isolating the package";;;;;;;;;;;;;;;
UPBR;UPS Breaker;"Includes Internal power supplies
Includes Internal wiring/cabling
Includes Internal diagnostic/test points
Includes Internal surge protection devices
Includes Enclosure
Includes Interlocking";;;;;;;;;;;;;;;
HVCP;Chiller Unit;"Includes crankcase heater
Includes vibration isolators
Includes lubrication system
Includes condenser (Air cooled or Water cooled)
Includes evaporator
Includes refrigerant circuit
Excludes compressor
Excludes motor
Excludes Fans + Coil
Excludes Chiller Water Pump
Excludes Water Cooled Pump";;;;;;;;;;;;;;;
CORO;Compressor, Rotary Lobe;"Includes seals
Includes rotors
Includes timing gears
Includes lubrication ports
Includes cooling system components
Includes vibration mounts
Includes alignment shims
Excludes Gearbox
Excludes check valves, vacuum relief valve, pressure relief valve, back pressure regulator";;;;;;;;;;;;;;;
SEBC;BA Compressor;"Includes Cooling system
Includes Seals and gaskets
Includes Electrical connections
Includes Lubrication system
Excludes separate control panels";;;;;;;;;;;;;;;
COVA;Compressor, Sliding Vane;"Includes Compressor
Includes lube oil system and lubricator
Includes cooling system
Includes local instrumentation
Includes drive coupling/belts
Includes inlet air/gas filtration

Excludes Driver";;;;;;;;;;;;;;;
SPST;Steam Trap;"Includes Thermostatic element
Includes Bimetallic element
Includes Bellows
Includes Piston
Includes Thermal insulation
Includes Mounting brackets
Includes condensate trap body and any gaskets/seals
Includes liquid trap body and any gaskets/seals
Excludes Baffle steam separators and any gaskets/seals
Excludes Centrifugal steam separators and any gaskets/seals
Excludes Coalescence steam separators and any gaskets/seals";;;;;;;;;;;;;;;
LSRH;Rescue Harness;"Includes webbing/harness material
Includes stitching/seams
Includes adjustment mechanisms
Includes attachment points
Includes connecting buckles
Includes rescue d-rings on the shoulders / sides
Includes lifeline
Includes gotcha kit
Includes SPQ Systems for ladder (steps, lifeline kit, and protection cage)
Excludes fall arrestors";;;;;;;;;;;;;;;
FGBF;Flame detector;"Includes optical lens/cover
Includes internal sensor element
Includes internal power supply
Includes internal signal processing module
Includes internal diagnostic/test points";;;;;;;;;;;;;;;
FGAB;Hydrocarbon Gas Detector;"Includes sensor element
Includes calibration gas supply
Includes power supply unit
Includes environmental protection housing
Includes diagnostic/test interface";;;;;;;;;;;;;;;
EHEL;Electrical Heat Tracing System;"Includes internal power supplies
Includes internal circuit breakers/fuses
Includes internal PLC/controller modules
Includes internal communication modules
Includes internal wiring/cabling
Includes internal surge protection devices
Includes internal diagnostic/test points
Includes internal temperature controllers
Includes internal heating elements
Includes internal insulation monitoring devices
Includes consideration of equipment EX protection rating inspection requirements (where applicable)
Includes internal terminal blocks, cable trays, trunking and connectors";;;;;;;;;;;;;;;
IPLT;Transmitter, Level;"Includes sensor element
Includes calibration gas/liquid connections
Includes environmental protection (weatherproofing/sealing)
Includes power supply connections
Includes mounting assembly (bracket support, instrument enclosure)
Includes instrument accessories when fitted (diaphragm seal and capillary, flushing ring, compact manifold, local display)
Excludes signal processing (transmitter) circuitry";;;;;;;;;;;;;;;
IPTT;Transmitter, Temperature;"Includes sensing element
Includes calibration port/access
Includes process connection (e.g., thermowell, flange)
Includes electrical conduit/sealing
Includes display/indicator (if integral)
Includes environmental protection (housing, seals)
Includes consideration of equipment Ex protection rating inspection requirements (where applicable)
Includes mounting assembly for remote type (bracket)";;;;;;;;;;;;;;;
FGAO;Gas Detector, other;"Includes sensor element
Includes calibration gas supply
Includes internal power supply
Includes internal diagnostic/test points
Includes internal wiring/cabling
Includes internal surge protection devices
Includes consideration of equipment EX protection rating inspection requirements (where applicable)
Includes mounting assembly (bracket support, instrument enclosure)";;;;;;;;;;;;;;;
IPTE;Element, Temperature;"Includes protective sheath or housing
Includes connection terminals or leads
Includes calibration adjustment mechanism
Excludes temperature transmitter";;;;;;;;;;;;;;;
IPFI;Indicator, Flow;"Includes sensing element
Includes internal wiring/cabling
Includes internal power supply
Includes calibration mechanism
Includes consideration of equipment EX protection rating inspection requirements (where applicable)
Includes mounting assembly (bracket support, instrument enclosure…)";;;;;;;;;;;;;;;
IPPI;Indicator, Pressure;"Includes display/indicator mechanism
Includes internal wiring/cabling
Includes internal power supply
Includes internal circuit breakers/fuses
Includes internal diagnostic/test points
Includes consideration of equipment EX protection rating inspection requirements (where applicable)
Includes mounting assembly (bracket support, instrument enclosure…)";;;;;;;;;;;;;;;
IPTI;Indicator, Temperature;"Includes sensing element
Includes display/indicator unit
Includes calibration mechanism
Includes power supply unit
Includes environmental protection seals
Includes mounting assembly (bracket support, instrument enclosure…)
Includes consideration of equipment EX protection rating inspection requirements (where applicable)";;;;;;;;;;;;;;;
FGBH;Heat Detector;"Includes sensing element
Includes housing/enclosure
Includes mounting bracket
Includes test button
Includes indicator light/LED
Includes terminal connections
Includes consideration of equipment EX protection rating inspection requirements (where applicable)";;;;;;;;;;;;;;;
FGOM;Detector, Oil Mist;"Includes Internal power supply
Includes Internal sensing element
Includes Internal calibration mechanism
Includes Internal alarm/indicator module
Includes consideration of equipment EX protection rating inspection requirements (where applicable)
Includes cabling and mounting bracket";;;;;;;;;;;;;;;
IPPT;Transmitter, Pressure;"Includes sensing element
Includes electrical connections
Includes calibration port
Includes environmental protection (e.g., weatherproofing, sealing)
Includes consideration of equipment EX protection rating inspection requirements (where applicable)
Includes mounting assembly (bracket support, instrument enclosure…)
Includes instrument accessories when fitted (diaphragm seal and capillary, flushing ring, compact manifold, local display)
Excludes process isolation block valve";;;;;;;;;;;;;;;
IPFS;Flow Switch;"Includes mounting bracket
Includes seals/gaskets
Includes calibration port
Includes electrical connections/terminals
Includes consideration of equipment Ex protection rating inspection requirements (where applicable)
Includes instrument cables and field termination
Excludes flow element
Excludes flow transmitter or pressure transmitter with 4-20mA signal (threshold generated by control panel / ICSS)
Excludes final element (Control valve, shutdown valve, and Blowdown valve, rotating equipment, all potential electrical equipment)";;;;;;;;;;;;;;;
IPLS;Level Switch;"Includes internal wiring/cabling
Includes internal terminal blocks
Includes internal diagnostic/test points
Includes internal power supplies
Includes internal circuit breakers/fuses
Includes internal PLC/controller modules
Includes internal communication modules
Includes internal surge protection devices
Includes Cabinet enclosures and doors
Includes Earthing arrangements
Includes Internal cable trays and trunking
Includes consideration of equipment Ex protection rating inspection requirements (where applicable)
Includes mounting assembly";;;;;;;;;;;;;;;
IPSS;Speed Switch;"Includes internal sensing element
Includes internal mechanical linkage
Includes internal electrical contacts
Includes internal calibration mechanism
Includes internal mounting hardware
Includes consideration of equipment Ex protection rating inspection requirements (where applicable)
Includes mounting assembly";;;;;;;;;;;;;;;
IPPS;Pressure Switch;"Includes electrical connections and wiring
Includes calibration mechanism
Includes environmental sealing
Includes mechanical linkage
Includes mounting assembly
Includes instrument accessories when fitted (diaphragm seal, flushing ring, compact manifold, local display)";;;;;;;;;;;;;;;
FGBS;Smoke Detector;"Includes sensing element
Includes optical chamber/lens
Includes internal power supply
Includes alarm indicator/light
Includes test button/function
Includes mounting base
Includes duct mounting device where applicable";;;;;;;;;;;;;;;
IPTS;Temperature, Switch;"Includes consideration of equipment Ex protection rating inspection requirements (where applicable)
Includes instrument cables and field termination
Excludes temperature element
Excludes final element (Control valve, shutdown valve, and Blowdown valve, rotating equipment, all potential electrical equipment)";;;;;;;;;;;;;;;
NQNC;Course Recorder;"Includes Internal power supply
Includes Internal wiring/cabling
Includes Internal communication modules
Includes Internal diagnostic/test points
Excludes Display Unit";;;;;;;;;;;;;;;
CRDK;Crane, Pedestal;"Includes Brake system
Includes Lubrication system
Includes Safety interlocks
Includes Equipment (wire ropes, drums, hook…)
Includes Slew Ring and slewing mechanism
Includes Transmission and auxiliary systems
Excludes Main driver (diesel engine or electric motor)
Excludes Hydraulic system (tanks, pumps)
Excludes Communication devices (radios…)";;;;;;;;;;;;;;;
CRTC;Crane, Travelling;"Includes Brake system
Includes Wheels and rails
Includes Lubrication system
Includes Safety devices (e.g., overload protection, emergency stop)
Includes Transmission and auxiliary systems
Excludes Crane structure (trolley, idler girder, festoon etc.)";;;;;;;;;;;;;;;
CEMC;Metering Calibration;"Includes calibration fluid/gas supply system
Includes reference standard/calibration artifact
Includes calibration software/algorithm
Includes environmental control system (temperature, humidity, pressure)
Includes calibration certificate/documentation system
Includes cylinder and piston assembly";;;;;;;;;;;;;;;
IPZS;Position Switch;"Includes actuator linkage
Includes electrical contacts
Includes mechanical spring
Includes sealing gasket
Includes mounting assembly
Excludes detector";;;;;;;;;;;;;;;
PKFW;Fire Water Pump Package;"Includes seals and gaskets
Includes couplings and alignment
Includes instrumentation sensors
Includes fuel cooler
Includes coolant cooler
Includes vibration mounts
Includes foundation bolts
Includes alignment shims
Includes instrument air supply
Includes control air supply
Includes fuel day tank vent
Includes terminal blocks
Includes wiring harnesses
Includes grounding connections
Includes heating elements
Includes thermostats
Includes fire detection sensors
Includes gas detection sensors
Includes emergency stop buttons
Includes control system I/O modules
Includes communication modules
Includes power supplies
Includes circuit breakers
Includes fuses
Includes relays
Includes uninterruptible power supplies
Includes dampers
Includes gas detectors
Includes annunciators
Includes public address systems
Includes emergency communication systems
Includes fire suppression systems
Includes proportioners
Includes monitors
Includes hydrants
Includes hose reels
Includes de-aerators
Includes heat exchangers
Includes coolers
Includes heaters
Includes traps
Includes drains
Includes vents
Includes bleeds
Includes sample points
Includes test points
Includes electric actuators
Includes positioners
Includes keyphasors
Includes detectors
Includes indicators
Includes recorders
Includes controllers
Includes PLCs
Includes HMIs
Includes displays
Includes keyboards
Includes mice
Includes touchscreens
Includes printers
Includes scanners
Includes barcode readers
Includes RFID readers
Includes cameras
Includes microphones
Includes speakers
Includes headphones
Includes intercoms
Includes network equipment
Includes servers
Includes workstations
Includes laptops
Includes tablets
Includes smartphones
Includes wearables
Includes sensors
Includes actuators
Includes gateways
Includes routers
Includes hubs
Includes modems
Includes transceivers
Includes repeaters
Includes amplifiers
Includes isolators
Includes converters
Includes inverters
Includes rectifiers
Includes transformers
Includes capacitors
Includes inductors
Includes resistors
Includes diodes
Includes transistors
Includes thyristors
Includes triacs
Includes IGBTs
Includes MOSFETs
Includes op-amps
Includes comparators
Includes regulators
Includes references
Includes oscillators
Includes crystals
Includes resonators
Includes mixers
Includes modulators
Includes demodulators
Includes encoders
Includes decoders
Includes multiplexers
Includes demultiplexers
Includes counters
Includes timers
Includes clocks
Includes calendars
Includes alarms
Includes reminders
Includes notifications
Includes messages
Includes emails
Includes texts
Includes calls
Includes voicemails
Includes faxes
Includes pagers
Includes beepers
Includes buzzers
Includes sirens
Includes horns
Includes bells
Includes whistles
Includes klaxons
Includes chimes
Includes tones
Includes melodies
Includes songs
Includes music
Includes speech
Includes noise
Includes shock
Includes impact
Includes drop
Includes tilt
Includes incline
Includes decline
Includes plumb
Includes square
Includes flat
Includes curved
Includes angled
Includes beveled
Includes chamfered
Includes filleted
Includes radiused
Includes tapered
Includes stepped
Includes grooved
Includes fluted
Includes knurled
Includes serrated
Includes toothed
Includes geared
Includes splined
Includes keyed
Includes pinned
Includes bolted
Includes screwed
Includes riveted
Includes brazed
Includes soldered
Includes adhesived
Includes taped
Includes wrapped
Includes coated
Includes plated
Includes anodized
Includes galvanized
Includes tinned
Includes silvered
Includes gilded
Includes platinized
Includes rhodiumed
Includes palladized
Includes osmiumed
Includes iridized
Includes ruthenized
Includes rhenized
Includes technetiumed
Includes molybdenumed
Includes tungstened
Includes tantalumed
Includes niobiumed
Includes zirconiumed
Includes hafniumed
Includes vanadiumed
Includes chromiumed
Includes rheniumed
Includes rutheniumed
Includes palladiumed
Includes cadmiumed
Includes indiumed
Includes antimonied
Includes telluriumed
Includes iodined
Includes xenoned
Includes cesiumed
Includes bariumed
Includes lanthanumed
Includes ceriumed
Includes praseodymiumed
Includes neodymiumed
Includes promethiumed
Includes samariumed
Includes europiumed
Includes gadoliniumed
Includes terbiumed
Includes dysprosiumed
Includes holmiumed
Includes erbiumed
Includes thuliumed
Includes ytterbiumed
Includes lutetiumed
Includes iridiumed
Includes platinumed
Includes golded
Includes mercuried
Includes thalliumed
Includes leaded
Includes bismuthed
Includes poloniumed
Includes astatined
Includes radoned
Includes franciumed
Includes radiumed
Includes actiniumed
Includes thoriumed
Includes protactiniumed
Includes uraniumed
Includes neptuniumed
Includes plutoniumed
Includes americiumed
Includes curiumed
Includes berkeliumed
Includes californiumed
Includes einsteiniumed
Includes fermiumed
Includes mendeleviumed
Includes nobeliumed
Includes lawrenciumed
Includes rutherfordiumed
Includes dubniumed
Includes seaborgiumed
Includes bohriumed
Includes hassiumed
Includes meitneriumed
Includes darmstadtiumed
Includes roentgeniumed
Includes coperniciumed
Includes nihoniumed
Includes fleroviumed
Includes moscoviumed
Includes livermoriumed
Includes tennessineed
Includes oganessoned
Excludes diesel engine
Excludes gearbox
Excludes electrical motor
Excludes panel";;;;;;;;;;;;;;;
CTTT;Telephone System;"Includes Internal wiring/cabling
Includes Internal power supplies
Includes Internal terminal blocks and connectors
Includes Internal surge protection devices
Includes Internal diagnostic/test points
Includes Audio / Flash Units
Includes Main Distribution Frame (MDF)
Excludes Satellite Telephones";;;;;;;;;;;;;;;
NQNE;Echo Sounder;"Includes Transducer/Probe
Includes Power Supply Unit
Includes Signal Processing Unit
Includes Mounting/Housing
Includes Internal Wiring/Cabling
Excludes Display Unit";;;;;;;;;;;;;;;
LHLI;Elevator and Lift;"Includes Guide rails and brackets
Includes Suspension ropes/cables
Includes Door operators
Includes Car and landing door interlocks
Includes Emergency lighting
Includes Communication system
Includes Leveling device
Includes Buffer springs
Includes Elevator shaft / well and structural components
Includes Car, landing and shaft doors
Includes Drive and power transmission systems
Includes Auxiliary systems";;;;;;;;;;;;;;;
CMCQ;Telecom Cabinets and Consoles;"Includes internal power supplies
Includes internal terminal blocks
Includes internal wiring/cabling
Includes internal surge protection devices
Includes internal diagnostic/test points
Includes Enclosure
Includes door(s), seals and hinge mechanism(s)
Includes mounting equipment
Includes ventilation system (if applicable)
Includes indicating lamps (if applicable)
Excludes push buttons
Excludes switches
Excludes CCTV System Cabinet (maintained by item class CMCV)
Excludes Radio UHF / VHF System Cabinet (maintained by item class CMRU)";;;;;;;;;;;;;;;
AEHP;Hospital Equipment;Includes equipment provided within the hospital.;;;;;;;;;;;;;;;
LSLA;Escape Ladder and Rope;"Includes Ladder rungs
Includes Rope/cable
Includes Mounting brackets
Includes Locking mechanisms
Includes Inspection tags
Includes Escape ladders
Includes Associated fittings
Includes Protective cover
Includes Stowage location";;;;;;;;;;;;;;;
CMDQ;Data System;"Includes Network Interface Card (NIC)
Includes Power Distribution Unit (PDU)
Includes Cable management system
Includes Internal diagnostic/test points
Includes Lan Outlet
Includes Modem
Includes Router
Includes Server
Excludes cabinet and consoles";;;;;;;;;;;;;;;
SPFI;Filter, In-line;"Includes seals
Excludes process piping and pumps";;;;;;;;;;;;;;;
HVAV;HVAC Package Unit;"Includes refrigerant piping and connections
Includes drain pans and lines
Includes electrical wiring and connections
Includes insulation materials
Includes vibration isolators and mounts
Includes condenser
Includes Evaporator
Includes Indoor and outdoor Cabinet
Excludes filters
Excludes fan and motor
Excludes compressor";;;;;;;;;;;;;;;
LFAX;Fire Axe;"Includes Handle
Includes Blade
Includes Mounting bracket
Excludes Locker";;;;;;;;;;;;;;;
LFBL;Fire Blanket;"Includes Mounting hardware
Includes Deployment mechanism
Includes Fire-resistant material integrity";;;;;;;;;;;;;;;
HVFD;Fire Damper;"Includes Damper Blade
Includes Damper Frame
Includes Damper Seal
Includes Damper Hinge
Includes Damper Latch
Includes Damper Manual Override
Includes Damper Insulation
Includes Damper Gasket
Includes Damper Fasteners
Includes Damper Shaft
Includes Damper Counterweight
Includes Damper Dampening Material
Includes Blast Damper
Includes Fusible Link
Includes Damper Structure
Excludes Actuator";;;;;;;;;;;;;;;
FGFP;Detector, Fire;"Includes Fire Detection Wiring/Cabling
Includes Fire Detection Power Supply
Includes Fire Detection Alarm Indicator
Includes Fire Detection Fusible Plug
Includes Fire Detection Synthetic Tubing
Excludes fusible loop control panel (pneumatic components)";;;;;;;;;;;;;;;
SPHY;Hydrant, Fire;"Includes hydrant outlet cap/plug
Includes hydrant mounting bracket/bolts
Includes international shore connection
Excludes hydrant valve
Excludes hydrant isolation valve";;;;;;;;;;;;;;;
LSFA;First Aids Kit;"Includes First Aid Kit Cabinet and Inventory
Includes Signage";;;;;;;;;;;;;;;
SJLR;Swivel Leak Recuperation unit;"Includes sensor
Includes relay
Includes fuse
Includes circuit breaker
Includes power supply
Includes cabling
Includes terminal block
Includes heating element
Includes seal
Includes gasket
Includes mounting bracket
Includes support structure
Includes sampling point
Includes hmi
Includes controller
Includes plc
Includes communication module
Includes diagnostic port
Includes test point
Includes surge protector
Includes earthing arrangement
Includes enclosure
Includes door
Includes grille
Includes cooling system
Includes heating system
Includes lubrication system
Includes sealing system
Includes drain system
Includes vent system
Includes sampling system
Includes isolation system
Includes control system
Includes protection system
Includes safety system
Includes emergency shutdown system
Includes corrosion protection
Includes insulation
Includes manual
Includes documentation
Includes tool
Includes spare part
Includes consumable
Includes gas
Includes air
Includes oil
Includes cleaning agent
Includes lubricant
Includes sealant
Includes gasket material
Includes coolant
Includes insulation material
Includes document material
Includes tool material
Includes spare part material
Includes consumable material
Excludes pump
Excludes suction strainer";;;;;;;;;;;;;;;
FPSO;FPSO;"Includes Hull structure
Includes Ballast system
Includes Anode system
Includes Fire and gas detection system
Includes Emergency shutdown system
Includes Instrument air system
Includes Drainage system
Includes Ventilation system
Includes Accommodation facilities
Includes Life-saving appliances
Includes Communication system
Includes Cathodic protection system
Includes Bilge system
Includes Sewage system
Excludes Floating Production, Storage and Offloading (FPSO) Vessel";;;;;;;;;;;;;;;
SEFM;Fire Fighting System, FM200;"Includes manual activation stations
Includes cylinder mounting brackets
Includes pipework supports
Includes dispersion nozzle alignment fixtures
Includes FM200 fire suppression system
Includes dispersion equipment
Excludes flexible hoses";;;;;;;;;;;;;;;
XSIF;End To End SIF Loop;"Includes internal wiring/cabling
Includes internal terminal blocks
Includes internal connectors
Includes internal power supplies
Includes internal circuit breakers/fuses
Includes internal PLC/controller modules
Includes internal communication modules
Includes internal surge protection devices
Includes internal diagnostic/test points";;;;;;;;;;;;;;;
WTAG;AntiMarine Growth Unit;"Includes cathodic protection system
Includes sensor
Includes timer
Excludes generator
Excludes flow switch
Excludes control panel";;;;;;;;;;;;;;;
NQSG;Differential GPS;"Includes power supply unit
Includes cabling and connectors
Includes mounting hardware
Includes environmental seals
Excludes radio base station
Excludes portable GPS & radio station equipment
Excludes semi-permanently installed GPS & radio station equipment";;;;;;;;;;;;;;;
WCGR;Greasing System;"Includes Grease system vent/fill cap
Includes Grease system drain plug
Includes Grease supply reservoir and associated fittings
Includes Grease distribution pipework and rigid tubing
Includes Grease applicators and applicator springs
Excludes Inline grease filters and filter elements
Excludes Bearings, wheels, bogies, rails, and lubricated mechanical components
Excludes Structural supports not forming part of the greasing system";;;;;;;;;;;;;;;
SPGT;Grease Trap;"Includes outlet baffle
Includes grease collection chamber
Includes ventilation system
Includes access cover
Includes internal piping
Excludes grease traps";;;;;;;;;;;;;;;
NQNG;Gyro Compass;"Includes internal wiring/cabling
Includes internal diagnostic/test points
Includes Gyro distribution unit
Includes Gyro control/display unit
Includes repeaters
Includes power supply unit
Excludes junction box";;;;;;;;;;;;;;;
LHWL;Windlass;"Includes foundation and mounting bolts
Includes lubrication system (reservoir, lines, fittings)
Includes clutch mechanism
Includes chain stopper/chain lock
Includes brake lining/pads
Includes seals and gaskets
Includes hawse pipe
Includes riding chock and riding pawl
Includes devil’s claw
Includes chain handling wheel (also called gypsy or wildcat) and chain
Includes spill pipe
Includes brakes and other safety equipment
Excludes gearbox
Excludes Hydraulic Power Unit (HPU)";;;;;;;;;;;;;;;
VEHD;Helideck Structure;"Includes helideck lighting system
Includes helideck fire detection system
Includes helideck anti-skid surface
Includes helideck structural supports
Includes helideck access hatches
Includes helideck wind indicator
Includes helideck surface
Includes boundary markings
Includes Helideck Tie-Down Points";;;;;;;;;;;;;;;
WCTL;Weathervaning Locking System;"Excludes Hydraulic fluid reservoir
Excludes Function pumps
Excludes Flexible hydraulic hoses
Excludes Accumulator drain valve
Excludes Hydraulic fluid reservoir associated with the locking system
Excludes Function pumps serving the locking system hydraulic circuit
Excludes Flexible hydraulic hoses associated with the reservoir and function pumps
Excludes Accumulator drain valve associated with the locking system hydraulic circuit
Excludes Turret structure and rotating bearing assemblies
Excludes Central hydraulic power units not dedicated to the locking system
Excludes Actuators and cylinders outside the reservoir and function pump scope";;;;;;;;;;;;;;;
PKHP;Hydrocyclone Package;"Includes Wear liners
Includes Vortex finder
Includes Support structure and mounting bolts
Includes Instrumentation tubing and connections
Excludes Hydrocyclone";;;;;;;;;;;;;;;
LSLJ;Lifejacket;Includes Light and Whistle;;;;;;;;;;;;;;;
IPPG;Gauge, Pressure;"Includes bourdon tube
Includes linkage mechanism
Includes pointer and scale
Includes pressure connection
Includes calibration adjustment mechanism
Includes pressure relief vent
Includes gasket/seal at process connection
Includes instrument accessories when fitted (flushing ring)
Excludes process isolation block valve";;;;;;;;;;;;;;;
PKLE;Laboratory Equipment Package;Excludes Laboratory drains;;;;;;;;;;;;;;;
TGSY;Tank Gauging System;"Includes internal power supplies
Includes internal communication modules
Includes internal diagnostic/test points
Includes main cabinet
Includes alarm system main cabinet
Includes cabinet enclosures with all internal components, wiring and cabling, terminal blocks and connectors, external glands and cables and fixings
Includes equipment earthing arrangements
Excludes level sensors
Excludes temperature sensors
Excludes pressure sensors
Excludes high level alarm sensor";;;;;;;;;;;;;;;
LBLR;Life Raft;"Includes container
Includes hydrostatic and manual release mechanisms
Excludes escape ladders and ropes
Excludes fall wires or hydraulic launching appliances";;;;;;;;;;;;;;;
EFLF;Lighting Fixture;"Includes wiring and connectors
Includes ballast/driver
Includes mounting hardware
Includes reflector/lens
Includes terminal blocks
Includes lighting bulb
Includes light cover
Excludes internal battery";;;;;;;;;;;;;;;
LSLI;Line Throwing Appliance;"Includes Launch mechanism
Includes Ignition system
Includes Line storage/reel
Includes Sighting/aiming device
Includes Safety interlocks
Includes Stowage Location";;;;;;;;;;;;;;;
LMLC;Loadmaster Computer;"Includes Internal power supplies
Includes Internal circuit breakers/fuses
Includes Internal communication modules
Includes Internal wiring/cabling
Includes Internal diagnostic/test points
Includes Internal surge protection devices";;;;;;;;;;;;;;;
EGEG;Alternator, Electric;"Includes Slip rings and brushes
Includes Terminal boxes and connections
Includes Vibration dampers and mounts
Includes Shaft seals and gaskets
Includes Local instrumentation and control unit (AVR) and excitation
Includes Cooling Systems
Includes Machine and shaft earth bonding
Includes Main casing
Includes Rotating rectifier
Includes Rotor and stator windings
Excludes Motor Starter
Excludes Power Generation Diesel
Excludes Power Generation Gas Turbine";;;;;;;;;;;;;;;
LSFL;Locker, Fireman Outfit;"Includes Locker hinges and latches
Includes Locker ventilation systems
Includes Locker internal lighting
Includes Locker structural supports
Includes Locker contents";;;;;;;;;;;;;;;
DRST;Steam Turbine;"Includes steam seal system
Includes governor
Includes local lubrication
Includes turning gear
Excludes pump
Excludes gearbox
Excludes coupling";;;;;;;;;;;;;;;
PKFP;Fine Filtration Package;"Includes piping connections
Includes instrumentation sensors
Includes pressure relief devices
Includes seals and gaskets
Includes internal wiring
Excludes LV motor";;;;;;;;;;;;;;;
WCMB;Main Roller Bearing;Excludes Turret locking systems and locking devices;;;;;;;;;;;;;;;
SEMF;Monitor, Foam;"Includes nozzle assembly
Includes rotation and elevation drive mechanisms
Includes seals and gaskets
Includes electrical connections and wiring
Includes monitor associated mounting and operating assemblies/mechanisms
Excludes foam tanks when fitted to the monitor
Excludes foam proportioner when child of Fire Fighting System, Foam (SEAF)
Excludes structural foam storage tanks – supply foam to foam ring (follow VEST – foam tank EST)";;;;;;;;;;;;;;;
EEST;Motor Starter;"Includes internal overload relays
Includes internal control circuit fuses
Includes internal wiring and terminals
Includes internal indicator lights
Includes internal power supply modules
Includes internal surge protection devices
Excludes motor starter
Excludes Electric Motor’s (DREM)
Excludes Control Station Local (EECP)
Excludes Motor Control Centre (EEMC)";;;;;;;;;;;;;;;
